epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,125.999,1.06928,2.83405,1.14525,0.58274,0.79137,0.68364,0.53368,0.72742,3.22233,0.99043,0.00054409,0.00054409,0.00054409
2,279.001,1.09705,2.11685,1.18057,0.46881,0.58616,0.58788,0.40486,1.03715,3.22327,1.379,0.00108887,0.00108887,0.00108887
3,446.868,1.15836,2.03058,1.23908,0.75789,0.42201,0.57854,0.40882,1.21647,3.07215,1.54248,0.00162265,0.00162265,0.00162265
4,623.275,1.23272,1.82631,1.23571,0.3301,0.4491,0.42105,0.26436,1.16022,7.00864,1.47066,0.00161749,0.00161749,0.00161749
5,753.623,1.2518,1.68609,1.16953,0.49336,0.67984,0.59792,0.39297,1.07846,2.4442,1.41252,0.00160099,0.00160099,0.00160099
6,873.398,1.17571,1.59643,1.21293,0.35792,0.50186,0.3447,0.22816,1.18051,3.63344,1.37435,0.00158448,0.00158448,0.00158448
7,993.98,1.20044,1.74051,1.24724,0.49733,0.69331,0.69958,0.51767,0.92282,2.43009,1.24325,0.00156798,0.00156798,0.00156798
8,1112.91,1.14012,1.52607,1.16555,0.56801,0.71545,0.67113,0.49083,1.0423,1.73288,1.23384,0.00155148,0.00155148,0.00155148
9,1233.91,1.08176,1.35117,1.16532,0.49878,0.6891,0.6192,0.45658,0.92599,1.61051,1.11833,0.00153497,0.00153497,0.00153497
10,1356.73,1.01107,1.18581,1.13165,0.72102,0.64714,0.73553,0.57708,0.83999,1.3566,1.08443,0.00151847,0.00151847,0.00151847
11,1476.25,1.06436,1.35185,1.16303,0.75799,0.65668,0.70922,0.53627,0.86843,1.33743,1.12104,0.00150197,0.00150197,0.00150197
12,1595.44,1.1326,1.25729,1.16753,0.80203,0.72198,0.71595,0.54633,1.03131,1.31195,1.32039,0.00148546,0.00148546,0.00148546
13,1714.42,1.08716,1.18123,1.13769,0.6471,0.74088,0.72021,0.56712,0.81211,1.27704,1.11259,0.00146896,0.00146896,0.00146896
14,1834.21,1.01411,1.13719,1.09767,0.81576,0.77912,0.79041,0.6093,0.79387,1.0835,1.07219,0.00145246,0.00145246,0.00145246
15,1953.17,1.01328,1.04306,1.1056,0.77091,0.82251,0.81569,0.63948,0.79835,0.98878,1.036,0.00143595,0.00143595,0.00143595
16,2090.68,0.93947,1.0339,1.05033,0.74207,0.84109,0.80496,0.64059,0.79075,1.11047,1.05791,0.00141945,0.00141945,0.00141945
17,2261.53,0.97805,1.0742,1.0905,0.84933,0.84971,0.8418,0.69384,0.67935,0.90698,0.96446,0.00140295,0.00140295,0.00140295
18,2430.03,0.91447,1.04292,1.06474,0.89701,0.80992,0.88996,0.71212,0.734,0.98816,1.01737,0.00138644,0.00138644,0.00138644
19,2618.88,0.92343,0.98037,1.07828,0.74066,0.83298,0.79075,0.64786,0.71735,0.97934,1.01277,0.00136994,0.00136994,0.00136994
20,2791.88,0.85183,0.91095,1.04843,0.76629,0.87126,0.79577,0.68409,0.62786,0.96507,0.95926,0.00135344,0.00135344,0.00135344
21,2961.91,0.87607,0.84888,1.03581,0.67523,0.77582,0.67276,0.54099,0.72627,1.40727,1.03868,0.00133693,0.00133693,0.00133693
22,3131.22,0.89475,0.9113,1.05162,0.73617,0.77336,0.75841,0.61035,0.70303,1.28515,1.02206,0.00132043,0.00132043,0.00132043
23,3257.64,0.83222,0.81707,1.04019,0.86336,0.84093,0.84883,0.67443,0.67669,0.86474,0.98705,0.00130393,0.00130393,0.00130393
24,3379.77,0.81899,0.83772,0.99881,0.78786,0.90085,0.83732,0.69665,0.61499,0.80308,0.94149,0.00128742,0.00128742,0.00128742
25,3502,0.8336,0.8098,1.02641,0.81769,0.82888,0.83845,0.69432,0.67803,0.9944,1.03225,0.00127092,0.00127092,0.00127092
26,3628.29,0.84273,0.8065,1.02485,0.81263,0.88865,0.8462,0.68175,0.75124,0.79815,1.03307,0.00125442,0.00125442,0.00125442
27,3749.53,0.84164,0.80272,1.03288,0.76372,0.93478,0.80523,0.67863,0.5861,0.79367,0.94618,0.00123791,0.00123791,0.00123791
28,3870.7,0.77399,0.75293,1.00257,0.80573,0.92756,0.82734,0.70009,0.60688,0.73168,0.95885,0.00122141,0.00122141,0.00122141
29,3994.95,0.85603,0.81258,1.02013,0.85721,0.85511,0.85448,0.67665,0.7228,0.7432,1.07965,0.00120491,0.00120491,0.00120491
30,4120.28,0.7865,0.751,1.01771,0.86364,0.87565,0.86414,0.72839,0.64841,0.80045,1.01447,0.0011884,0.0011884,0.0011884
31,4241.5,0.81172,0.75856,1.00328,0.87804,0.88815,0.8479,0.706,0.70597,0.90571,1.00527,0.0011719,0.0011719,0.0011719
32,4360.54,0.7396,0.70401,0.97643,0.82565,0.86005,0.84815,0.72545,0.61921,0.83831,0.98044,0.0011554,0.0011554,0.0011554
33,4480.6,0.81557,0.75895,1.00779,0.89611,0.86824,0.88734,0.74817,0.63734,0.76736,0.96809,0.00113889,0.00113889,0.00113889
